DataSource,Eruption,SiO2_wt,Al2O3_wt,FeO_wt,MgO_wt,MnO_wt,TiO2_wt,K2O_wt,Na2O_wt,CaO_wt,BaO_wt,F,Cl,H2O,Total
WhitneyStormer1985,FishCanyonTuff,38.13,13.61,16.41,14.23,0.32,4.32,8.84,0.44,NA,0.21,0.74,0.15,2.28,97.4
WhitneyStormer1985,FishCanyonTuff,37.96,13.77,16.22,14.4,0.3,4.35,8.8,0.45,0.02,0.27,0.78,0.15,2.29,97.47
WhitneyStormer1985,FishCanyonTuff,38.03,13.58,16.65,14.56,0.3,4.54,9.91,0.44,NA,0.24,0.72,0.15,2.21,99.12
WhitneyStormer1985,FishCanyonTuff,33.89,24.82,14.69,12.52,0.25,3.95,7.94,0.37,0.04,0.15,1.05,0.18,2.67,99.85
WhitneyStormer1985,FishCanyonTuff,38.22,13.65,14.79,12.52,0.28,4.29,8.89,0.49,0.04,0.21,1.47,0.17,2.26,98.7
WhitneyStormer1985,FishCanyonTuff,38.22,13.42,18.84,13.58,0.36,4.48,9.16,0.49,0.06,NA,2.2,0.12,1.69,100.93
WhitneyStormer1985,FishCanyonTuff,35.19,21.72,16.36,12.65,0.41,4.11,8.19,NA,NA,NA,1.39,0.16,2.6,100.18
WhitneyStormer1985,FishCanyonTuff,37.65,13.91,14.99,15.34,0.18,4.42,10.02,0.39,0.01,0.27,3.19,NA,1.12,100.51
WhitneyStormer1985,FishCanyonTuff,37.39,13.65,17.86,13.67,0.32,4.38,10.68,0.46,NA,0.28,1.59,0.14,1.65,100.42
Bachmannetal2002,FishCanyonTuff,36.86,13.22,16.33,14.01,0.35,4.56,9.24,0.39,0.41,0.05,1.08,0.2,NA,NA
Bachmannetal2002,FishCanyonTuff,36.37,13.3,16.92,13.54,0.37,4.57,9.47,0.36,0.28,0.02,0.98,0.2,NA,NA
Whitneyetal1988,CarpenterRidgeTuff,37.57,13.41,18.63,13.69,0.45,4.96,9.05,0.57,0.02,0.17,1.37,0.1,NA,99.99
Whitneyetal1988,CarpenterRidgeTuff,37.42,14.37,18.88,13.13,0.44,5.39,8.85,0.51,0.06,0.57,0.96,0.08,NA,100.67
Whitneyetal1988,CarpenterRidgeTuff,36.67,14.04,18.24,13.84,0.44,4.93,8.29,0.5,0.04,0.34,1.22,0.12,NA,98.67
Whitneyetal1988,CarpenterRidgeTuff,40.27,13.98,14.36,15.4,0.18,4.11,7.38,0.41,0.19,0.4,0.5,0.06,NA,97.24
Whitneyetal1988,CarpenterRidgeTuff,38,13.44,17.31,14.58,0.37,5.33,6.86,0.31,0.24,0.45,0.92,0.07,NA,97.88
Whitneyetal1988,CarpenterRidgeTuff,38.78,13,16.12,14.7,0.44,5.08,7.93,0.42,0.14,0.63,1.15,0.08,NA,98.47
Whitneyetal1988,CarpenterRidgeTuff,34.67,15.15,15.01,14.8,0.21,4.55,7.3,0.65,0.03,5.01,0.86,0.07,NA,98.3
Whitneyetal1988,CarpenterRidgeTuff,34.74,14.88,14.37,15.43,0.26,4.2,8.07,0.76,0.01,2.93,3.38,0.06,NA,99.09
Doraisetal1991,CarpenterRidgeTuff,34.67,15.15,15.01,14.8,0.21,4.55,7.3,0.65,0.03,5.01,0.86,0.07,NA,NA
Doraisetal1991,CarpenterRidgeTuff,35.43,14.52,14.75,15.64,0.2,3.96,7.6,0.89,NA,4.22,0.91,0.04,NA,NA
Doraisetal1991,CarpenterRidgeTuff,35.19,14.55,14.77,15.22,0.22,4.26,7.53,0.83,NA,4.24,0.96,0.05,NA,NA
Doraisetal1991,CarpenterRidgeTuff,34.74,14.88,14.37,15.43,0.26,4.2,8.07,0.76,0.01,2.93,3.38,0.06,NA,NA
Doraisetal1991,CarpenterRidgeTuff,35.79,14.53,14.94,14.48,NA,4.81,7.65,0.66,NA,3.1,1.24,0.04,NA,NA
Doraisetal1991,CarpenterRidgeTuff,34.32,14.56,15.57,13.93,NA,5.21,7.4,0.72,NA,3.26,2.29,0.06,NA,NA
Doraisetal1991,CarpenterRidgeTuff,34.14,14.56,16.03,14.34,NA,5.17,7.52,0.78,NA,2.57,2.53,0.02,NA,NA
Doraisetal1991,CarpenterRidgeTuff,35.23,15.89,14.1,15.98,0.24,4.5,7.99,0.95,0.07,2.96,2.88,0.04,NA,NA
Doraisetal1991,CarpenterRidgeTuff,34.06,15.15,14.73,15.09,0.16,4.65,7.84,0.91,0.01,3.22,2.38,0.03,NA,NA
Doraisetal1991,CarpenterRidgeTuff,35.67,16.31,14.37,15.51,0.29,4.59,7.44,1.05,NA,4.13,2.41,0.05,NA,NA
Doraisetal1991,CarpenterRidgeTuff,35.66,14.05,16.41,15.41,0.34,4.21,8.31,0.77,NA,2.04,4.46,0.04,NA,NA
Doraisetal1991,CarpenterRidgeTuff,35,14.88,16.13,14.82,0.39,4.24,7.86,0.68,NA,3.44,2.12,0.05,NA,NA
Doraisetal1991,CarpenterRidgeTuff,33.13,13.58,20.07,14.38,0.55,4.36,7.44,0.59,NA,3.3,4.07,0.05,NA,NA
Doraisetal1991,CarpenterRidgeTuff,34.61,14.41,18.2,14.75,0.53,3.71,7.89,0.74,NA,2.44,3.48,0.05,NA,NA
Doraisetal1991,CarpenterRidgeTuff,38.35,14.29,17.81,13.85,0.31,4.07,8.87,0.72,0.04,0.52,2.03,0.06,NA,NA
Doraisetal1991,CarpenterRidgeTuff,33.96,14.2,17.87,13.97,0.4,4.12,8.1,0.85,NA,2.78,4.05,0.05,NA,NA
Doraisetal1991,CarpenterRidgeTuff,36.16,15.12,16.43,15.57,0.33,4,8.38,0.74,NA,2.18,1.6,0.05,NA,NA
Doraisetal1991,CarpenterRidgeTuff,35.72,14.93,17.74,14.1,0.35,3.97,8.19,0.74,0.02,2.2,1.85,0.05,NA,NA
Doraisetal1991,CarpenterRidgeTuff,35.64,15.07,14.74,14.48,0.25,4.52,7.85,0.71,0.02,2.35,3.81,0.03,NA,NA
Doraisetal1991,CarpenterRidgeTuff,36.07,15.79,15.31,14.81,0.3,4.44,8.04,0.66,0.03,2.23,2.13,0.05,NA,NA
Bachmannetal2014,CarpenterRidgeTuff,34.13,12.25,19.2,15.08,0.58,3.78,8.13,0.67,0.03,1.01,4.38,0.09,NA,97.47
Bachmannetal2014,CarpenterRidgeTuff,35.66,13,17.96,14.68,0.43,4.32,8.39,0.65,0.05,0.94,4.6,0.07,NA,98.8
Bachmannetal2014,CarpenterRidgeTuff,34.28,13.98,13.12,15.43,0.11,5.08,6.8,0.96,0.18,4.19,4.47,0.04,NA,96.74
Bachmannetal2014,CarpenterRidgeTuff,33.83,13.61,15.59,15.48,0.1,4.25,6.93,0.95,0.23,3.56,4.4,0,NA,97.08
Bachmannetal2014,CarpenterRidgeTuff,37.54,11.51,16.76,14.06,0.46,4.44,9.66,0.43,0.01,0.28,4.05,0.14,NA,97.61
Bachmannetal2014,CarpenterRidgeTuff,37.55,12.12,17.4,13.73,0.4,3.99,9.72,0.44,0,0.26,3.86,0.11,NA,97.96
Bachmannetal2014,CarpenterRidgeTuff,34.19,14.09,14.3,15.77,0.16,4.52,7.43,0.89,0.07,3.68,4.47,0.03,NA,97.7
Bachmannetal2014,CarpenterRidgeTuff,36.18,14.5,11.66,17.4,0.1,4.41,7.85,1.04,0.06,2.66,5.11,0.01,NA,98.82
Curryetal2021a,SnowshoeMountainTuff,37.66,13.47,16.46,14.01,0.2842,4.63,9,0.4271,0.0146,NA,NA,0.1926,NA,96.54
Curryetal2021a,SnowshoeMountainTuff,37.74,13.41,16.58,14.1,0.2533,4.67,8.92,0.4603,0.0116,NA,NA,0.1763,NA,96.8647
Curryetal2021a,SnowshoeMountainTuff,37.58,13.54,16.59,14.04,0.2685,4.69,9.06,0.4201,0.0097,NA,NA,0.1816,NA,96.9627
Curryetal2021a,SnowshoeMountainTuff,37.72,13.53,16.58,14.04,0.278,4.76,9.03,0.4191,0.0007,NA,NA,0.1789,NA,97.1208
Curryetal2021a,SnowshoeMountainTuff,37.72,13.5,16.57,14.08,0.2754,4.73,9.08,0.3881,0.0209,NA,NA,0.18,NA,97.0752
Curryetal2021a,SnowshoeMountainTuff,37.62,13.51,16.59,14.1,0.2773,4.76,9,0.4416,0.025,NA,NA,0.1743,NA,97.0809
Curryetal2021a,SnowshoeMountainTuff,37.5,13.5,16.64,14.01,0.2807,4.78,8.99,0.4474,0.0071,NA,NA,0.19,NA,97.0072
Curryetal2021a,SnowshoeMountainTuff,37.58,13.46,16.49,13.9,0.2816,4.75,9.05,0.4424,0.0091,NA,NA,0.18,NA,96.8268
Curryetal2021a,SnowshoeMountainTuff,37.71,13.23,16.69,13.96,0.2765,4.74,8.99,0.4385,0.017,NA,NA,0.1915,NA,96.9058
Curryetal2021a,SnowshoeMountainTuff,37.62,13.36,16.66,13.96,0.3021,4.73,9.02,0.4339,0,NA,NA,0.1855,NA,96.9115
Curryetal2021a,SnowshoeMountainTuff,37.06,13.62,16.59,13.91,0.2862,4.82,8.78,0.4554,0.015,NA,NA,0.185,NA,96.4288
Curryetal2021a,SnowshoeMountainTuff,37.19,13.44,16.58,13.98,0.3138,4.85,8.85,0.4832,0,NA,NA,0.1896,NA,96.5874
Curryetal2021a,SnowshoeMountainTuff,37.48,13.75,16.58,13.92,0.2657,4.79,8.81,0.4433,0.008,NA,NA,0.1834,NA,96.9505
Curryetal2021a,SnowshoeMountainTuff,37.73,13.53,16.37,14.12,0.2988,4.74,9.01,0.4429,0.0027,NA,NA,0.1739,NA,96.9671
Curryetal2021a,SnowshoeMountainTuff,37.44,13.56,16.45,13.97,0.289,4.73,9.07,0.455,0.0096,NA,NA,0.1874,NA,96.7292
Curryetal2021a,SnowshoeMountainTuff,37.54,13.64,16.44,14.04,0.271,4.79,9.07,0.4326,0.0084,NA,NA,0.1852,NA,96.9907
Curryetal2021a,SnowshoeMountainTuff,37.5,13.51,16.47,14.12,0.2734,4.76,9.13,0.4767,0.0039,NA,NA,0.1722,NA,96.9089
Curryetal2021a,SnowshoeMountainTuff,37.39,13.56,16.48,14.08,0.2668,4.72,9.1,0.4424,0.0108,NA,NA,0.1832,NA,96.7258
Curryetal2021a,SnowshoeMountainTuff,37.52,13.36,16.29,14.1,0.2832,4.73,9.1,0.4494,0.0115,NA,NA,0.175,NA,96.4291
Curryetal2021a,SnowshoeMountainTuff,37.59,13.55,16.46,14.13,0.2572,4.71,9.15,0.4402,0.003,NA,NA,0.1808,NA,96.7295
Curryetal2021a,SnowshoeMountainTuff,37.65,13.47,16.53,14.04,0.2872,4.73,9.07,0.4219,0,NA,NA,0.1673,NA,96.7348
Curryetal2021a,SnowshoeMountainTuff,37.5,13.49,16.35,14.05,0.2788,4.71,8.99,0.4472,0,NA,NA,0.1777,NA,96.3826
Curryetal2021a,SnowshoeMountainTuff,37.39,13.57,16.21,14.01,0.276,4.66,8.93,0.4605,0.0763,NA,NA,0.1713,NA,96.3609
Curryetal2021a,SnowshoeMountainTuff,37.63,13.38,15.9,14.33,0.2996,4.67,8.86,0.4704,0.0121,NA,NA,0.1858,NA,96.3268
Curryetal2021a,SnowshoeMountainTuff,37.45,13.1,15.68,14.42,0.2664,4.69,8.88,0.463,0.0112,NA,NA,0.2029,NA,95.6852
Curryetal2021a,SnowshoeMountainTuff,37.48,13.2,15.98,14.27,0.2888,4.66,8.87,0.4634,0.0035,NA,NA,0.1784,NA,95.9911
Curryetal2021a,SnowshoeMountainTuff,37.52,13.19,16.06,14.28,0.2972,4.67,8.84,0.4614,0.0117,NA,NA,0.1851,NA,96.1439
Curryetal2021a,SnowshoeMountainTuff,37.47,13.5,15.97,14.25,0.2916,4.65,8.85,0.4744,0.0055,NA,NA,0.1757,NA,96.1381
Curryetal2021a,SnowshoeMountainTuff,37.65,13.27,15.97,14.28,0.2962,4.65,8.82,0.4558,0.0156,NA,NA,0.1761,NA,96.1178
Curryetal2021a,SnowshoeMountainTuff,36.97,13.64,15.86,14.08,0.2874,4.81,8.79,0.4591,0.0414,NA,NA,0.1728,NA,96.1494
Curryetal2021a,SnowshoeMountainTuff,37.08,13.66,15.96,14.17,0.2802,4.83,8.81,0.4814,0.0222,NA,NA,0.1923,NA,96.5376
Curryetal2021a,SnowshoeMountainTuff,37.2,13.34,16.04,14.12,0.2726,4.69,8.77,0.4641,0.0154,NA,NA,0.1754,NA,95.8212
Curryetal2021a,SnowshoeMountainTuff,37.34,13.48,16.02,14.08,0.303,4.67,8.8,0.4848,0.0164,NA,NA,0.1791,NA,96.1222
Curryetal2021a,SnowshoeMountainTuff,37.36,13.29,16.12,14.13,0.3095,4.71,8.79,0.4783,0.0121,NA,NA,0.1832,NA,96.1449
Curryetal2021a,SnowshoeMountainTuff,37.46,13.52,15.93,14.2,0.2818,4.73,8.84,0.4824,0.0033,NA,NA,0.1792,NA,96.4173
Curryetal2021a,SnowshoeMountainTuff,37.41,13.45,16.07,14.15,0.3053,4.69,8.8,0.4769,0,NA,NA,0.1832,NA,96.339
Curryetal2021a,SnowshoeMountainTuff,37.53,13.46,16.02,14.19,0.3024,4.69,8.81,0.4706,0.0077,NA,NA,0.1757,NA,96.5544
Curryetal2021a,SnowshoeMountainTuff,37.62,13.27,16.05,14.42,0.2951,4.64,8.81,0.4706,0.0157,NA,NA,0.1822,NA,96.3605
Curryetal2021a,SnowshoeMountainTuff,37.65,13.44,16.17,14.35,0.307,4.79,8.83,0.5045,0.0032,NA,NA,0.1774,NA,97.0282
Curryetal2021a,SnowshoeMountainTuff,37.51,13.58,16.12,14.22,0.285,4.76,8.78,0.4753,0.018,NA,NA,0.1825,NA,96.6891
Curryetal2021a,SnowshoeMountainTuff,37.73,13.57,16.09,14.39,0.2946,4.75,8.8,0.485,0,NA,NA,0.1772,NA,97.0826
Curryetal2021a,SnowshoeMountainTuff,37.79,13.56,16.1,14.25,0.2722,4.76,8.81,0.4747,0.0108,NA,NA,0.1782,NA,96.9922
Curryetal2021a,SnowshoeMountainTuff,37.4,13.5,16.16,14.28,0.2926,4.77,8.8,0.4902,0,NA,NA,0.1763,NA,96.6813
Curryetal2021a,SnowshoeMountainTuff,37.47,13.66,16.2,14.23,0.2908,4.75,8.82,0.479,0.0029,NA,NA,0.1869,NA,96.8764
Curryetal2021a,SnowshoeMountainTuff,37.59,13.47,16.22,14.12,0.3057,4.81,8.85,0.4857,0.0038,NA,NA,0.1854,NA,96.0407
Curryetal2021a,SnowshoeMountainTuff,37.4,13.4,15.98,14.29,0.2971,4.64,8.79,0.4969,0.0205,NA,NA,0.1771,NA,96.1183
Curryetal2021a,SnowshoeMountainTuff,37.67,13.81,16.22,14.29,0.3049,4.7,8.92,0.4314,0.0012,NA,NA,0.1818,NA,96.5294
Curryetal2021a,SnowshoeMountainTuff,37.48,13.16,15.97,14.43,0.282,4.63,8.79,0.4945,0.0135,NA,NA,0.1753,NA,95.9505
Curryetal2021a,SnowshoeMountainTuff,37.47,13.56,16.03,14.47,0.2938,4.64,8.81,0.4498,0.0079,NA,NA,0.1884,NA,96.4145
Curryetal2021a,SnowshoeMountainTuff,37.35,13.5,16.09,14.33,0.306,4.63,8.8,0.4212,0.0182,NA,NA,0.1797,NA,96.1815
Curryetal2021a,SnowshoeMountainTuff,37.48,13.55,16.01,14.37,0.2832,4.67,8.89,0.4271,0.0051,NA,NA,0.1803,NA,96.3896
Curryetal2021a,SnowshoeMountainTuff,37.41,13.45,15.87,14.46,0.2773,4.55,8.87,0.4295,0.0134,NA,NA,0.1738,NA,95.955
Curryetal2021a,SnowshoeMountainTuff,37.35,13.56,16,14.32,0.287,4.65,8.77,0.4616,0,NA,NA,0.1817,NA,96.3072
Curryetal2021a,SnowshoeMountainTuff,37.12,13.05,17.38,13.53,0.3206,4.75,8.92,0.491,0.0029,NA,NA,0.176,NA,95.7405
Curryetal2021a,SnowshoeMountainTuff,37.34,12.77,17.48,13.55,0.3038,4.62,8.92,0.5467,0,NA,NA,0.188,NA,95.7186
Curryetal2021a,SnowshoeMountainTuff,37.22,12.95,17.8,13.09,0.291,4.62,8.92,0.4474,0.0086,NA,NA,0.1755,NA,95.5226
Curryetal2021a,SnowshoeMountainTuff,37.35,12.95,16.99,13.64,0.2792,4.71,9.09,0.3508,0.007,NA,NA,0.1838,NA,95.5508
Curryetal2021a,SnowshoeMountainTuff,37.37,12.72,16.88,13.66,0.2777,4.68,9.1,0.2936,0.0093,NA,NA,0.1912,NA,95.1818
Curryetal2021a,SnowshoeMountainTuff,37.17,12.95,17.83,13.13,0.2949,4.57,8.92,0.5167,0.0142,NA,NA,0.1871,NA,95.5829
Curryetal2021a,SnowshoeMountainTuff,37.71,13.06,17.07,13.67,0.2654,4.59,8.89,0.311,0.0219,NA,NA,0.1754,NA,95.7638
Curryetal2021a,SnowshoeMountainTuff,36.92,13.28,17.93,13.31,0.2614,4.68,8.82,0.4381,0.0022,NA,NA,0.1829,NA,95.8246
Curryetal2021a,SnowshoeMountainTuff,37.75,12.77,17.54,13.51,0.2912,4.65,9.17,0.4058,0.0297,NA,NA,0.1736,NA,96.2904
Curryetal2021a,SnowshoeMountainTuff,37.4,12.9,18.08,13.14,0.2128,4.67,8.97,0.4285,0.0082,NA,NA,0.1872,NA,95.9967
Curryetal2021a,SnowshoeMountainTuff,37.48,12.93,17.37,13.55,0.1919,4.63,9.03,0.3586,0.0076,NA,NA,0.1876,NA,95.7358
Curryetal2021a,SnowshoeMountainTuff,37.72,12.71,17.83,13.2,0.2676,4.59,9,0.5057,0.0198,NA,NA,0.1898,NA,96.033
Curryetal2021a,SnowshoeMountainTuff,37.48,12.71,18.01,13.14,0.2865,4.64,8.98,0.4957,0,NA,NA,0.196,NA,95.9383
Curryetal2021a,SnowshoeMountainTuff,37.57,12.65,17.74,13.31,0.2768,4.57,8.96,0.4647,0.0191,NA,NA,0.1942,NA,95.7548
Curryetal2021a,SnowshoeMountainTuff,37.3,12.81,18.06,13.17,0.2719,4.59,8.99,0.3706,0.003,NA,NA,0.2009,NA,95.7664
Curryetal2021a,SnowshoeMountainTuff,37.61,13.75,16.93,13.71,0.2975,4.82,9.22,0.3163,0,NA,NA,0.2025,NA,96.8564
Curryetal2021a,SnowshoeMountainTuff,37.37,13.6,18.15,12.81,0.3093,4.85,9.11,0.4026,0.0109,NA,NA,0.1956,NA,96.8084
Curryetal2021a,SnowshoeMountainTuff,37.55,13.65,17.22,13.52,0.3051,4.82,9.18,0.3522,0.0036,NA,NA,0.1981,NA,96.799
Curryetal2021a,SnowshoeMountainTuff,37.67,13.46,17.78,13.26,0.3,4.75,9.17,0.4809,0,NA,NA,0.1934,NA,97.0644
Curryetal2021a,SnowshoeMountainTuff,37.43,13.53,17.3,13.53,0.3207,4.8,9.28,0.3584,0,NA,NA,0.1995,NA,96.7486
Curryetal2021a,SnowshoeMountainTuff,37.48,13.58,17.68,13.35,0.2865,4.82,9.11,0.4482,0,NA,NA,0.1963,NA,96.951
