DataSource,Eruption,SiO2_wt,TiO2_wt,Al2O3_wt,FeO_wt,MnO_wt,MgO_wt,CaO_wt,Na2O_wt,Total
Doraisetal1991,CarpenterRidgeTuff,52.94,0.15,1.47,7.07,0.69,15.38,22.29,NA,NA
Doraisetal1991,CarpenterRidgeTuff,51.81,0.21,1.43,8.44,0.75,15.16,22.52,NA,NA
Doraisetal1991,CarpenterRidgeTuff,52.37,0.22,1.43,8.37,0.72,15.33,22.75,NA,NA
Doraisetal1991,CarpenterRidgeTuff,50.84,0.26,1.67,8.45,0.84,14.45,22.4,NA,NA
Doraisetal1991,CarpenterRidgeTuff,51.59,0.26,1.7,8.41,0.84,14.88,22.95,NA,NA
Doraisetal1991,CarpenterRidgeTuff,51.43,0.29,1.61,8.49,0.86,13.91,22.44,NA,NA
Doraisetal1991,CarpenterRidgeTuff,51.54,0.29,1.65,8.49,0.86,14.68,21.82,NA,NA
Doraisetal1991,CarpenterRidgeTuff,51.95,0.25,1.29,8.59,0.82,14.8,22.63,NA,NA
Doraisetal1991,CarpenterRidgeTuff,52.08,0.16,1.53,8.95,0.77,14.96,22.46,NA,NA
Curryetal2021a,CebollaCreekTuff,53.17,0.2453,1.5716,8.21,0.7549,14.54,22.41,0.4522,101.354
Curryetal2021a,CebollaCreekTuff,53.73,0.1785,1.0325,7.82,0.8788,14.66,22.67,0.4029,101.3727
Curryetal2021a,CebollaCreekTuff,53.99,0.1931,1.0333,8.15,0.923,14.16,22.31,0.3902,101.1496
Curryetal2021a,CebollaCreekTuff,53.86,0.2007,1.061,7.89,0.6329,14.8,22.36,0.3686,101.1732
Curryetal2021a,CebollaCreekTuff,53.65,0.1893,1.0113,8.03,0.9055,14.46,22.44,0.3763,101.0624
Curryetal2021a,CebollaCreekTuff,53.58,0.1868,1.0586,8.47,0.9593,13.99,22.18,0.4471,100.8718
Curryetal2021a,CebollaCreekTuff,53.02,0.2918,1.5582,8.24,0.6286,14.57,22.27,0.4266,101.0052
Curryetal2021a,CebollaCreekTuff,53.43,0.1838,1.0257,8.02,0.9211,14.48,22.47,0.3978,100.9284
Curryetal2021a,CebollaCreekTuff,53.59,0.1805,1.0905,8.52,0.9644,14.03,22.13,0.4748,100.9802
Curryetal2021a,CebollaCreekTuff,52.82,0.3276,1.749,8.27,0.6263,14.41,22.29,0.4441,100.937
Curryetal2021a,CebollaCreekTuff,53.62,0.1838,0.9896,7.77,0.8637,14.64,22.5,0.3607,100.9278
Curryetal2021a,CebollaCreekTuff,53.55,0.1928,1.1329,8.5,0.9599,13.94,22.1,0.4552,100.8308
Curryetal2021a,CebollaCreekTuff,52.99,0.322,1.4842,8.23,0.6551,14.63,22,0.4703,100.7816
Curryetal2021a,CebollaCreekTuff,53.59,0.1904,1.0519,7.93,0.9082,14.56,22.52,0.3658,101.1163
Curryetal2021a,CebollaCreekTuff,53.66,0.1929,1.0356,8.02,0.9173,14.25,22.4,0.4343,100.9101
Curryetal2021a,CebollaCreekTuff,53.05,0.3255,1.3658,8.33,0.7076,14.59,22.1,0.4212,100.8901
Curryetal2021a,CebollaCreekTuff,53.68,0.1746,0.9493,7.68,0.9116,14.57,22.62,0.3403,100.9258
Curryetal2021a,CebollaCreekTuff,53.63,0.1958,1.0284,7.73,0.9163,14.36,22.47,0.3837,100.7142
Curryetal2021a,CebollaCreekTuff,53.51,0.2058,1.0585,8.11,0.7262,14.59,22.19,0.3951,100.7856
Curryetal2021a,CebollaCreekTuff,52.88,0.1646,0.933,8.01,0.9225,14.19,22.51,0.3905,100.0006
Curryetal2021a,CebollaCreekTuff,53.57,0.1853,1.0117,7.92,0.9194,14.24,22.48,0.4051,100.7315
Curryetal2021a,CebollaCreekTuff,53.26,0.2193,1.5772,8.16,0.7335,14.44,22.3,0.4319,101.1219
Curryetal2021a,CebollaCreekTuff,53.53,0.1825,1.005,7.69,0.8684,14.81,22.62,0.3502,101.0561
Curryetal2021a,CebollaCreekTuff,53.89,0.1741,0.9314,7.78,0.8908,14.39,22.54,0.3792,100.9755
Curryetal2021a,CebollaCreekTuff,53.1,0.2213,1.4351,8.06,0.7359,14.61,22.3,0.413,100.8753
Curryetal2021a,CebollaCreekTuff,53.79,0.1867,1.0042,7.75,0.8611,14.66,22.58,0.3368,101.1688
Curryetal2021a,CebollaCreekTuff,54.14,0.1669,0.8756,7.62,0.8857,14.48,22.62,0.3056,101.0938
Curryetal2021a,CebollaCreekTuff,52.85,0.2499,1.5147,8.12,0.7215,14.47,22.3,0.4269,100.653
Curryetal2021a,CebollaCreekTuff,53.56,0.2012,1.0455,7.71,0.888,14.65,22.67,0.3535,101.0782
Curryetal2021a,CebollaCreekTuff,53.97,0.1868,0.9374,7.81,0.8874,14.42,22.62,0.3309,101.1625
Curryetal2021a,CebollaCreekTuff,52,0.3032,1.8298,8.29,0.7149,14.32,22.12,0.4262,100.0041
Curryetal2021a,CebollaCreekTuff,53.68,0.182,0.9582,7.67,0.8954,14.57,22.65,0.368,100.9736
Curryetal2021a,CebollaCreekTuff,53.9,0.1819,0.9197,7.9,0.9037,14.31,22.47,0.3846,100.9699
Curryetal2021a,CebollaCreekTuff,53.1,0.2242,1.3336,8.09,0.7273,14.67,22.29,0.428,100.8631
Curryetal2021a,CebollaCreekTuff,53.77,0.1787,0.9608,7.72,0.8952,14.73,22.75,0.3535,101.3582
Curryetal2021a,CebollaCreekTuff,54.28,0.1806,0.8658,7.8,0.8834,14.44,22.56,0.3608,101.3706
Curryetal2021a,CebollaCreekTuff,52.9,0.225,1.2966,8.12,0.7169,14.64,22.33,0.3969,100.6254
Curryetal2021a,CebollaCreekTuff,53.82,0.1902,0.9487,7.74,0.9035,14.61,22.67,0.3562,101.2386
Curryetal2021a,CebollaCreekTuff,54.03,0.1779,0.8427,7.6,0.8888,14.56,22.6,0.3332,101.0326
Curryetal2021a,CebollaCreekTuff,53.12,0.179,1.079,7.99,0.7234,14.84,22.34,0.3896,100.661
Curryetal2021a,CebollaCreekTuff,53.74,0.1884,0.9708,7.64,0.8576,14.58,22.56,0.3639,100.9007
Curryetal2021a,CebollaCreekTuff,54,0.1829,0.899,7.75,0.8896,14.53,22.63,0.3686,101.2501
Curryetal2021a,CebollaCreekTuff,52.73,0.1537,1.0137,7.92,0.6585,14.85,22.3,0.364,99.9899
Curryetal2021a,CebollaCreekTuff,53.56,0.2029,1.0434,7.77,0.8836,14.57,22.63,0.3899,101.0498
Curryetal2021a,CebollaCreekTuff,53.88,0.1898,0.9238,7.87,0.9039,14.35,22.47,0.3768,100.9643
Curryetal2021a,CebollaCreekTuff,51.79,0.246,1.0297,8.68,0.6988,14.34,21.62,0.4197,98.8242
Curryetal2021a,CebollaCreekTuff,51.91,0.1286,0.8794,8.57,0.7607,13.74,22.05,0.4426,98.4813
