DataSource,Eruption,SiO2_wt,Al2O3_wt,FeO_wt,MgO_wt,CaO_wt,Na2O_wt,K2O_wt,MnO_wt,TiO2_wt,P2O5_wt
Bachmannetal2014,CarpenterRidgeTuff,71.4,15.26,1.26,0.1,0.54,3.62,7.64,NA,NA,NA
Bachmannetal2014,CarpenterRidgeTuff,72.62,15.01,1.05,0.03,0.49,3.67,7.05,NA,NA,NA
Bachmannetal2014,CarpenterRidgeTuff,72.71,14.57,0.78,0.1,0.85,4.45,6.15,NA,NA,NA
Bachmannetal2014,CarpenterRidgeTuff,72.4,14.79,0.96,0.11,0.56,3.72,7.46,NA,NA,NA
Bachmannetal2014,CarpenterRidgeTuff,72.33,15.19,0.8,0.07,0.82,4.53,5.96,NA,NA,NA
Bachmannetal2014,CarpenterRidgeTuff,72.64,14.37,0.98,0.15,0.59,4.03,7.14,NA,NA,NA
Bachmannetal2014,CarpenterRidgeTuff,69.47,15.72,2.33,0.44,1.53,5.56,4.7,NA,NA,NA
Bachmannetal2014,CarpenterRidgeTuff,69.61,16.11,2.14,0.63,3.07,6.26,2,NA,NA,NA
Bachmannetal2014,CarpenterRidgeTuff,70.02,15.56,2.39,0.5,2.16,6.58,2.7,NA,NA,NA
Bachmannetal2014,CarpenterRidgeTuff,72.46,14.59,1,0.12,0.82,3.89,6.77,NA,NA,NA
Bachmannetal2014,CarpenterRidgeTuff,72.73,14.4,1.16,0.06,0.66,4.6,6.39,NA,NA,NA
Bachmannetal2014,CarpenterRidgeTuff,73.44,14.31,0.86,0.13,0.35,2.97,7.57,NA,NA,NA
Curryetal2021a,SnowshoeMountainTuff,76.59217842,13.55827538,0.445501194,0.058601996,0.629498858,2.247460055,6.259281275,0.070574447,0.056501566,0.08202179
Curryetal2021a,SnowshoeMountainTuff,77.1507965,13.20020239,0.316845662,0.082220735,0.667966965,2.121825423,6.171655677,0.145875498,0.142611151,0
Curryetal2021a,SnowshoeMountainTuff,77.14036807,13.18790729,0.350457393,0.048631062,0.656362459,2.258991256,6.170392782,0,0.12748659,0.05929852
Curryetal2021a,SnowshoeMountainTuff,77.05492578,13.0315732,0.533936772,0.005008212,0.617952091,2.361014439,6.142725878,0.084321944,0.16854168,0
Curryetal2021a,SnowshoeMountainTuff,77.21945054,13.15733412,0.386604475,0.042606633,0.613535519,2.262209337,6.117095201,0.081054048,0.120008684,0
Curryetal2021a,SnowshoeMountainTuff,77.55930248,13.0501509,0.142552556,0.08724134,0.581025266,2.070308074,6.344824745,0.009270036,0.155221605,0
Curryetal2021a,SnowshoeMountainTuff,76.7350057,13.52781591,0.489934862,0.083572778,0.674385893,2.215944884,6.141332965,0.037248978,0.094652503,0
Curryetal2021a,SnowshoeMountainTuff,76.77070193,13.53790141,0.444412286,0.053375614,0.586292849,2.401378328,6.124039055,0.048027567,0.033870969,0
Curryetal2021a,SnowshoeMountainTuff,76.8795134,13.60652861,0.216443621,0.038560587,0.592488146,2.332547762,6.241141309,0.028789103,0.048962489,0.01502497
Curryetal2021a,SnowshoeMountainTuff,76.46026178,13.68888721,0.638849755,0.019750658,0.6583903,2.56338333,5.862163517,0.063034016,0.045174378,0
Curryetal2021a,SnowshoeMountainTuff,76.37525149,13.61153455,0.630043513,0.036722895,0.615814699,2.678364984,5.837998675,0.086732991,0.127431584,0
Curryetal2021a,SnowshoeMountainTuff,76.50588568,13.58276026,0.400750204,0.055036361,0.699549557,2.468621259,6.241016516,0.015602541,0.030670749,0
Curryetal2021a,SnowshoeMountainTuff,77.31570241,12.8893228,0.509907276,0.120799462,0.683215046,2.539419171,5.706105229,0.058376289,0.097934572,0.079116565
Curryetal2021a,SnowshoeMountainTuff,77.63876428,12.87755924,0.4281082,0.05469935,0.638630054,2.502848504,5.661685527,0.060149101,0.137454825,0
Curryetal2021a,SnowshoeMountainTuff,77.62775394,12.81019328,0.443313382,0.07252385,0.615797087,2.188828301,6.072233351,0.042767889,0.126588918,0
Curryetal2021a,SnowshoeMountainTuff,76.27349496,13.66233728,0.594558835,0.065419352,0.668392251,2.818711617,5.847774848,0.031552742,0.030080281,0.007677834
Curryetal2021a,SnowshoeMountainTuff,76.22971379,13.85412609,0.360869032,0.069377365,0.61244203,2.252095997,6.468105091,0.01163405,0.141529824,0
Curryetal2021a,SnowshoeMountainTuff,76.88542413,13.47890829,0.411683782,0.023907544,0.634889556,2.236179739,6.152070527,0.073371427,0.103461957,0
