DataSource,Eruption,Li_ppm,Ti_ppm,Rb_ppm,Sr_ppm,Y_ppm,Zr_ppm,Nb_ppm,Cs_ppm,Ba_ppm,La_ppm,Ce_ppm,Pr_ppm,Nd_ppm,Sm_ppm,Eu_ppm,Gd_ppm,Tb_ppm,Dy_ppm,Ho_ppm,Er_ppm,Tm_ppm,Yb_ppm,Lu_ppm,Hf_ppm,Ta_ppm,Pb_ppm,Th_ppm,U_ppm
Bachmannetal2014,CarpenterRidgeTuff,NA,NA,NA,NA,NA,NA,NA,NA,1557,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bachmannetal2014,CarpenterRidgeTuff,NA,NA,NA,NA,NA,NA,NA,NA,547,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bachmannetal2014,CarpenterRidgeTuff,NA,NA,NA,NA,NA,NA,NA,NA,3267,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bachmannetal2014,CarpenterRidgeTuff,NA,NA,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bachmannetal2014,CarpenterRidgeTuff,NA,NA,NA,NA,NA,NA,NA,NA,2572,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bachmannetal2014,CarpenterRidgeTuff,NA,NA,NA,NA,NA,NA,NA,NA,818,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bachmannetal2014,CarpenterRidgeTuff,NA,NA,NA,NA,NA,NA,NA,NA,2074,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bachmannetal2014,CarpenterRidgeTuff,NA,NA,NA,NA,NA,NA,NA,NA,1465,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bachmannetal2014,CarpenterRidgeTuff,NA,NA,NA,NA,NA,NA,NA,NA,752,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bachmannetal2014,CarpenterRidgeTuff,NA,NA,NA,NA,NA,NA,NA,NA,2970,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bachmannetal2014,CarpenterRidgeTuff,NA,NA,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bachmannetal2014,CarpenterRidgeTuff,NA,NA,NA,NA,NA,NA,NA,NA,3295,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Curryetal2021a,SnowshoeMountainTuff,26.5,618.1,176.4,86.7,5.2,72,12.2,4.6,265.1514975,27.80319473,37.34674054,2.843674493,7.063460517,1.008607734,0.147391246,0.655893845,0.100864501,0.544314644,0.149392762,0.595419873,0.098036211,0.770772099,0.17254232,2.864369583,0.65166223,17.69850738,15.85331966,6.386804247
Curryetal2021a,SnowshoeMountainTuff,29.2,635.5,181.1,82.6,5.4,72.2,12,4.6,263.5973731,28.37393016,37.84729796,2.876137152,7.505990113,1.051298612,0.201074481,0.829133647,0.070571964,0.628608213,0.150705905,0.569749867,0.113333049,0.895563322,0.184112694,2.966090309,0.691381205,17.57125467,16.12574109,6.478656858
Curryetal2021a,SnowshoeMountainTuff,36.5,697.1,183.4,55.1,16.3,101.5,20.1,4.4,262.9869221,43.42698412,74.6487467,7.011708483,21.23361542,2.886536078,0.413339082,2.011295751,0.338590912,2.317641826,0.520304508,1.656028176,0.292553371,2.169615008,0.362787769,4.087413316,1.199429438,21.73077912,14.86904589,6.195082763
Curryetal2021a,SnowshoeMountainTuff,35.2,725.7,183.6,57.8,16.6,101.6,20.3,4.3,264.2656513,43.04590994,75.91606018,7.097168341,21.34925833,2.86826508,0.4363357,2.175697771,0.329177179,2.090971471,0.513525366,1.726190925,0.295416876,2.219916719,0.380318506,4.233082135,1.211003776,20.59733828,15.12501102,6.194969262
Curryetal2021a,SnowshoeMountainTuff,32,607.6,183,77.2,5.4,72.8,12.7,4.7,184.1735802,29.43006159,38.9784242,2.913223605,7.557022121,0.809062192,0.165892473,0.59150716,0.077473725,0.542284698,0.13894948,0.573728865,0.10050249,0.927149352,0.175423957,3.017875313,0.743115918,19.47082732,16.55017026,6.623499952
Curryetal2021a,SnowshoeMountainTuff,29.6,617.1,189.7,82.3,5.6,71.9,12.7,4.8,199.0255474,29.92641015,39.25266924,3.002035031,6.995775506,0.718936126,0.236783013,0.531041172,0.062899599,0.453533434,0.138148716,0.532686962,0.093783081,0.932579962,0.190395868,3.082803234,0.718829014,18.75447771,16.53423099,6.635930903
Curryetal2021a,SnowshoeMountainTuff,31.7,616,183.6,77,5.4,73.2,12.8,4.7,175.6349323,29.74197887,38.66790854,2.946225658,7.068857202,0.75496151,0.161542415,0.599487994,0.083583969,0.510661935,0.147923418,0.527808228,0.103259887,0.950145476,0.190436396,2.966620384,0.747648169,18.59472585,16.53831711,6.656459088
Curryetal2021a,SnowshoeMountainTuff,26.6,620.8,187.1,84.9,5.2,73.5,12.8,4.9,193.4562742,29.71082535,39.4442223,2.847012448,7.469512215,0.910687543,0.175880302,0.429631957,0.091469966,0.600913883,0.156773837,0.599118469,0.097164608,1.011778268,0.183156445,2.869478799,0.763533056,18.76037161,16.51722459,6.543054984
Curryetal2021a,SnowshoeMountainTuff,26,631.2,189.7,92.5,4.9,68.3,11.5,4.7,301.3956003,27.30277982,36.21290145,2.706664449,7.160950949,0.810109578,0.175892445,0.628044099,0.082307894,0.541035782,0.129875407,0.46221175,0.097015694,0.771306779,0.152109667,2.870246675,0.642897906,21.54940342,16.09674923,6.439698333
