DataSource,Eruption,SiO2_wt,Al2O3_wt,FeO_wt,MgO_wt,MnO_wt,TiO2_wt,K2O_wt,Na2O_wt,CaO_wt,BaO_wt,F,Cl,H2O,Total
WhitneyStormer1985,FishCanyonTuff,47.26,7.2,14.42,13.83,0.63,1.34,0.83,1.37,11.95,0.03,0.36,0.12,1.84,99.34
WhitneyStormer1986,FishCanyonTuff,47.47,6.79,14.03,14.4,0.75,1.3,0.46,1.45,11.93,NA,0.46,0.09,1.8,99.13
WhitneyStormer1987,FishCanyonTuff,46.93,7.04,14.46,14.12,0.64,1.24,0.81,1.39,11.91,0.06,0.37,0.08,1.83,99.05
WhitneyStormer1988,FishCanyonTuff,47.24,6.94,14.16,14.29,0.62,1.28,0.62,1.46,11.97,0.05,0.49,0.11,1.77,99.23
WhitneyStormer1989,FishCanyonTuff,45.7,8.11,14.98,13.42,0.61,1.5,0.72,1.59,12.04,NA,0.41,0.12,1.8,99.2
Bachmannetal2014,CarpenterRidgeTuff,43.16,10.97,11.57,14.23,0.19,2.88,0.99,2.18,11.19,NA,0.12,0.04,97.47,NA
Bachmannetal2014,CarpenterRidgeTuff,42.35,11,11.27,13.98,0.16,2.73,1.45,2.21,10.82,NA,0.2,0.32,96.34,NA
Bachmannetal2014,CarpenterRidgeTuff,42.99,10.96,12.38,14.01,0.33,2.46,1.04,2.25,11.37,NA,0.36,0.03,98.01,NA
Bachmannetal2014,CarpenterRidgeTuff,42.98,10.96,11.38,14.28,0.19,2.75,0.96,2.24,11.14,NA,0.28,0.04,97.07,NA
Bachmannetal2014,CarpenterRidgeTuff,43.1,10.99,11.55,14.14,0.3,2.4,1.01,2.27,11.3,NA,0.28,0.04,97.26,NA
Bachmannetal2014,CarpenterRidgeTuff,42.63,11.34,11.47,14.25,0.19,2.91,0.91,2.24,11.28,NA,0.31,0.04,97.43,NA
Bachmannetal2014,CarpenterRidgeTuff,43.08,10.97,12,13.99,0.36,2.23,0.98,2.23,11.3,NA,0.32,0.04,97.35,NA
Doraisetal1991,CarpenterRidgeTuff,41.54,12.07,12.14,13.61,0.15,2.8,1.1,2.32,11.71,NA,NA,NA,NA,NA
Doraisetal1991,CarpenterRidgeTuff,42.06,12.12,12.45,13.69,0.22,3.03,0.97,2.51,11.84,NA,NA,NA,NA,NA
Doraisetal1991,CarpenterRidgeTuff,39.94,14.79,10.84,12.68,0.55,2.99,0.99,2,12.42,NA,NA,NA,NA,NA
Doraisetal1991,CarpenterRidgeTuff,40.69,14.83,12.06,13.39,0.24,2.63,1.17,2.31,11.01,NA,NA,NA,NA,NA
Doraisetal1991,CarpenterRidgeTuff,41.54,12.07,12.14,13.61,0.15,2.8,1.1,2.32,11.71,NA,NA,NA,NA,NA
Doraisetal1991,CarpenterRidgeTuff,42.06,12.12,12.45,13.69,0.22,3.03,0.97,2.51,11.84,NA,NA,NA,NA,NA
Doraisetal1991,CarpenterRidgeTuff,41.54,11.92,12.14,13.62,0.15,2.81,1.1,2.31,11.7,NA,NA,NA,NA,NA
Doraisetal1991,CarpenterRidgeTuff,42.89,11.84,12.18,13.61,0.23,3.1,0.98,2.4,10.82,NA,NA,NA,NA,NA
Doraisetal1991,CarpenterRidgeTuff,42.91,11.73,12.18,13.84,0.21,2.86,0.91,2.41,10.82,NA,NA,NA,NA,NA
