DataSource,Eruption,Na2O_wt ,SiO2_wt ,CaO_wt   ,K2O_wt    ,Al2O3_wt  ,MgO_wt ,FeO_wt,BaO_wt,TiO2_wt ,SrO_wt,Total_wt
Bachmannetal2002,FishCanyonTuff,2.65,49,15.7,0.1,32.41,NA,0.37,0,NA,NA,100.23
Bachmannetal2002,FishCanyonTuff,7.6,61.35,5.68,1.1,23.36,NA,0.24,0,NA,NA,99.33
Bachmannetal2002_2005,FishCanyonTuff,7.84,62.13,4.97,1.12,23.58,0,0.242946,0.05,NA,NA,99.97
Bachmannetal2002_2005,FishCanyonTuff,7.34,60.62,6.06,0.94,24.37,0,0.22495,0,NA,NA,99.59
Bachmannetal2002_2005,FishCanyonTuff,7.23,60.82,6.19,0.9,24.52,0.01,0.22495,0,NA,NA,99.92
Bachmannetal2002_2005,FishCanyonTuff,7.21,59.68,6.58,0.84,24.99,0,0.242946,0.01,NA,NA,99.58
Bachmannetal2002_2005,FishCanyonTuff,5.73,55.44,9.66,0.38,27.65,0.01,0.242946,0.05,NA,NA,99.19
Bachmannetal2002_2005,FishCanyonTuff,6.74,58.41,7.49,0.7,25.67,0.01,0.22495,0.09,NA,NA,99.36
Bachmannetal2002_2005,FishCanyonTuff,7.05,59.92,6.66,0.77,25.2,0,0.251944,0.03,NA,NA,99.92
Bachmannetal2002_2005,FishCanyonTuff,5.71,56.35,9.45,0.45,27.23,0.01,0.260942,0.05,NA,NA,99.53
Bachmannetal2002_2005,FishCanyonTuff,6.24,57.16,8.56,0.43,26.67,0,0.215952,0.03,NA,NA,99.35
Bachmannetal2002_2005,FishCanyonTuff,4.12,51.99,12.71,0.21,30.4,0,0.22495,0.03,NA,NA,99.72
Bachmannetal2002_2005,FishCanyonTuff,7.52,60.3,6.59,0.35,25.08,0.01,0.206954,0.03,NA,NA,100.11
Bachmannetal2002_2005,FishCanyonTuff,4.23,52.01,12.76,0.23,30.41,0.01,0.22495,0.05,NA,NA,99.94
Bachmannetal2002_2005,FishCanyonTuff,7.45,60.5,6.54,0.56,24.92,0,0.260942,0,NA,NA,100.26
Bachmannetal2002_2005,FishCanyonTuff,2.743,48.819,15.521,0.1,32.276,0,0.384,0.013,NA,NA,97.113
Bachmannetal2002_2005,FishCanyonTuff,3.203,49.844,14.588,0.124,31.332,0.012,0.239,0.011,NA,NA,96.15
Bachmannetal2002_2005,FishCanyonTuff,7.351,60.809,6.396,0.877,24.382,0.041,0.159,0.062,NA,NA,92.726
Bachmannetal2002_2005,FishCanyonTuff,7.555,60.772,6.446,0.922,24.286,0,0.207,0,NA,NA,92.633
Bachmannetal2002_2005,FishCanyonTuff,7.623,61.022,6.358,0.95,24.14,0,0.145,0.02,NA,NA,92.635
Bachmannetal2002_2005,FishCanyonTuff,7.396,60.942,6.235,0.938,24.251,0.011,0.138,0.068,NA,NA,92.583
Bachmannetal2002_2005,FishCanyonTuff,7.424,60.75,6.36,0.875,24.336,0,0.26,0.058,NA,NA,92.639
Bachmannetal2002_2005,FishCanyonTuff,7.423,60.986,6.541,0.911,24.44,0.006,0.054,0.153,NA,NA,93.091
Bachmannetal2002_2005,FishCanyonTuff,7.174,60.195,6.917,0.727,24.967,0,0.421,0.056,NA,NA,93.283
Bachmannetal2002_2005,FishCanyonTuff,7.308,60.378,6.71,0.854,24.592,0.012,0.194,0.026,NA,NA,92.766
