DataSource,Eruption,Na2O_wt ,SiO2_wt ,CaO_wt   ,K2O_wt    ,Al2O3_wt  ,MgO_wt    ,FeO_wt,BaO_wt,TiO2_wt,SrO_wt,Total_wt
Bachmannetal2002,FishCanyonTuff,2.88,64.27,0.29,11.71,18.71,NA,NA,1.61,NA,NA,99.59
Bachmannetal2002,FishCanyonTuff,1.81,63.64,0.15,13.42,18.31,NA,NA,1.13,NA,NA,98.66
Bachmannetal2002,FishCanyonTuff,2.72,64.35,0.2,12.08,18.76,NA,NA,1.08,NA,NA,99.39
Bachmannetal2002_2005,FishCanyonTuff,2.56,64.3,0.19,12.39,18.72,0,0,0.67,NA,NA,98.89
Bachmannetal2002_2005,FishCanyonTuff,2.29,63.77,0.14,12.39,18.93,0,0,1.74,NA,NA,99.39
Bachmannetal2002_2005,FishCanyonTuff,2.57,64.26,0.13,12.17,19.03,0,0,1.59,NA,NA,99.87
Bachmannetal2002_2005,FishCanyonTuff,2.97,64.13,0.2,11.71,19.2,0,0,1.84,NA,NA,100.16
Bachmannetal2002_2005,FishCanyonTuff,2.5,63.8,0.24,12.53,18.87,0.03,0,1.01,NA,NA,99.28
Bachmannetal2002_2005,FishCanyonTuff,2.66,64.7,0.2,12.34,19.05,0.03,0,0.92,NA,NA,100.05
Bachmannetal2002_2005,FishCanyonTuff,2.74,64.54,0.18,12.6,18.94,0.01,0,0.77,NA,NA,99.89
Bachmannetal2002_2005,FishCanyonTuff,2.55,64.68,0.24,12.32,18.98,0,0,0.82,NA,NA,99.73
Bachmannetal2002_2005,FishCanyonTuff,2.25,63.37,0.23,12.46,18.98,0,0,1.7,NA,NA,99.15
Bachmannetal2002_2005,FishCanyonTuff,2.34,64.91,0.23,12.68,18.76,0,0,0.58,NA,NA,99.62
Bachmannetal2002_2005,FishCanyonTuff,2.71,64.3,0.14,12.09,19.07,0.01,0,1.58,NA,NA,100.04
Bachmannetal2002_2005,FishCanyonTuff,2.75,63.95,0.19,11.84,19.12,0,0,1.64,NA,NA,99.63
Bachmannetal2002_2005,FishCanyonTuff,2.81,64.2,0.1,12.14,18.83,0,0,0.99,NA,NA,99.18
Bachmannetal2002_2005,FishCanyonTuff,2.91,64.09,0.14,11.48,19.21,0.01,0,1.82,NA,NA,99.8
Bachmannetal2002_2005,FishCanyonTuff,2.84,64.16,0.17,11.83,18.9,0,0,1.64,NA,NA,99.64
Bachmannetal2002_2005,FishCanyonTuff,2.63,64.06,0.11,11.93,18.97,0.01,0,1.6,NA,NA,99.44
Bachmannetal2002_2005,FishCanyonTuff,2.2,63.93,0.27,12.63,18.98,0,0,1.08,NA,NA,99.21
Bachmannetal2002_2005,FishCanyonTuff,2.23,63.65,0.18,12.75,19.01,0,0,1.48,NA,NA,99.42
Bachmannetal2002_2005,FishCanyonTuff,2.669,64.586,0.168,12.49,18.636,0,0,1.011,NA,NA,96.891
Bachmannetal2002_2005,FishCanyonTuff,2.14,64.982,0.157,13.011,18.19,0.012,0.275,0.842,NA,NA,97.469
Bachmannetal2002_2005,FishCanyonTuff,2.803,64.042,0.272,11.935,18.657,0,0.032,1.394,NA,NA,96.332
Bachmannetal2002_2005,FishCanyonTuff,2.571,63.88,0.242,12.46,18.71,0,0.208,1.302,NA,NA,96.802
Bachmannetal2002_2005,FishCanyonTuff,2.717,63.704,0.183,12.118,18.816,0,0.067,1.493,NA,NA,96.381
Bachmannetal2002_2005,FishCanyonTuff,2.934,62.945,0.242,11.979,18.703,0,0.122,1.794,NA,NA,95.785
Bachmannetal2002_2005,FishCanyonTuff,2.722,64.155,0.198,12.209,18.755,0.01,0.197,1.64,NA,NA,97.164
Bachmannetal2002_2005,FishCanyonTuff,2.638,63.973,0.175,12.206,18.693,0,0.173,1.417,NA,NA,96.637
Bachmannetal2002_2005,FishCanyonTuff,2.691,64.592,0.153,12.408,18.456,0.019,0,0.932,NA,NA,96.56
Bachmannetal2002_2005,FishCanyonTuff,2.843,64.287,0.155,12.118,18.77,0,0.096,1.163,NA,NA,96.589
