DataSource,Eruption,Ti_ppm,Sr_ppm,Y_ppm,Zr_ppm,Nb_ppm,La_ppm,Ce_ppm,Pr_ppm,Nd_ppm,Sm_ppm,Eu_ppm,Gd_ppm,Tb_ppm,Dy_ppm,Ho_ppm,Er_ppm,Tm_ppm,Yb_ppm,Lu_ppm,Hf_ppm,Ta_ppm,Th_ppm,U_ppm
Curryetal2021b,SnowshoeMountainTuff,12.02146817,0.335668438,728.890922,406217.1752,1.645322895,0.158706757,17.47381547,0.15574832,2.161837181,3.979900037,0.869118017,16.73180574,5.424575618,63.45823745,22.79743356,113.3145383,23.77719365,220.4786989,47.78848432,8581.016054,0.696819722,113.5415079,141.3315999
Curryetal2021b,SnowshoeMountainTuff,12.63440099,0.303292351,609.3997738,426015.9672,1.445181542,NA,15.34517221,0.059826608,1.285711232,2.767958295,0.624267579,13.50807694,4.323391178,51.98832613,19.57433588,96.21636854,20.7186779,193.9094588,42.40478936,9012.525121,0.716691199,66.83742295,101.0092717
Curryetal2021b,SnowshoeMountainTuff,5.081452616,0.324202359,778.3540716,407206.7021,3.589347868,0.16700361,35.55978856,0.098198596,1.37172823,2.341833527,0.797913011,15.68987828,5.236372208,63.50952342,25.03913174,126.222962,28.14230838,265.3439942,57.53065358,10031.4788,1.243283463,185.1571357,266.6371356
Curryetal2021b,SnowshoeMountainTuff,9.614256692,0.399140943,1843.709865,491123.7768,9.634956451,NA,109.6093134,0.310791557,4.572317491,8.911971114,3.172423261,44.17179751,13.79995013,160.2214335,56.26720874,266.3031547,53.3566377,466.7151515,95.33949624,9533.969237,1.971730401,627.7802078,438.7662107
Curryetal2021b,SnowshoeMountainTuff,7.524464535,0.639777606,838.907503,471321.5611,3.517300114,0.906583008,38.23363493,0.384186465,2.400768741,3.515960831,0.848995884,17.7931801,5.542546905,69.49743677,27.26564519,135.0402591,30.04268799,282.4413444,60.73935593,11120.70226,1.372378385,202.6717066,286.7161359
Curryetal2021b,SnowshoeMountainTuff,7.86197027,0.390947692,805.4870086,473902.2507,3.180734632,NA,31.71736406,0.07043225,1.356102973,2.782275989,0.777244131,16.20862354,5.273580818,65.00890119,25.2855977,129.776018,28.32762237,266.1646275,58.62310556,11350.38706,1.183072558,147.674428,236.321681
Curryetal2021b,SnowshoeMountainTuff,8.422954573,0.645236698,738.004839,428157.3459,2.892519546,0.725893096,27.3742178,0.297022382,1.84312726,2.952114202,0.752675464,14.4426277,4.837698756,60.33532487,23.37380328,117.4253568,26.53927992,258.834518,56.87970852,10012.88497,1.050910817,125.6634789,210.1061942
Curryetal2021b,SnowshoeMountainTuff,9.169634084,0.331459103,826.2147639,420343.4084,2.698170003,NA,25.99150502,0.07577046,1.350354342,3.152424912,1.01982701,17.56814374,5.696893896,70.14304522,26.81119819,133.0684989,27.93989955,263.0661901,55.42058807,9735.954221,0.793632528,98.07973977,139.3149447
Curryetal2021b,SnowshoeMountainTuff,10.91278588,0.609011733,3292.373712,398125.9129,24.99584653,0.193013924,255.5371538,0.415073572,7.092589548,16.49997189,6.103959944,86.80004248,26.2267123,296.9425417,108.1120077,492.2608295,96.45715779,859.1415375,172.372747,7645.745566,3.990760429,1720.753004,1064.920358
Curryetal2021b,SnowshoeMountainTuff,5.412978516,0.542258622,825.6506713,478598.8901,3.814295757,0.480049354,38.02404155,0.201327849,2.042663615,2.953757915,0.758623826,14.90790958,5.368541747,67.61251359,25.48476693,131.2957517,29.2955479,284.9596648,61.10046586,11895.14577,1.557605998,186.639535,283.6154189
Curryetal2021b,SnowshoeMountainTuff,12.44247245,0.35376019,1524.849164,389801.4901,1.843204935,0.044401858,22.00003364,0.404866295,5.655237706,8.754525025,2.272889497,39.90776176,11.65335322,139.3274348,49.90217296,235.8669753,48.24932603,430.1376055,88.65957472,8293.175977,0.637580379,192.680306,193.3827718
Curryetal2021b,SnowshoeMountainTuff,6.494114676,0.307774934,825.9579043,418961.4972,2.763100095,0.195192833,33.66244855,0.124895387,1.470637656,3.119895437,0.95984987,16.78835188,5.454655494,68.35673651,26.14916642,133.5306607,28.80153399,274.3232286,58.67413886,9726.089631,1.098810394,162.5347489,229.1870332
Curryetal2021b,SnowshoeMountainTuff,4.876752661,0.365581808,803.1721556,433078.1669,3.810289963,NA,34.91082004,0.060917423,1.089676188,2.938659416,0.726043761,14.71210873,5.117335392,64.80856714,25.59956374,131.2718369,28.90970277,284.0786056,61.27473552,10565.80583,1.466801254,162.9552153,255.517573
Curryetal2021b,SnowshoeMountainTuff,6.901125084,0.364091931,769.1979781,450457.0252,3.291766429,NA,33.04163877,0.052131661,1.280520524,2.890274287,0.844575036,14.09560423,4.99507738,63.52449154,24.38710167,125.1296375,27.12893405,259.1731165,55.96680752,10612.38659,1.191773448,194.5634922,243.7275761
Curryetal2021b,SnowshoeMountainTuff,6.682545831,0.402284082,1008.862894,426186.7421,5.238411674,NA,32.03027801,0.073330273,1.593438388,3.298722776,0.881273796,19.13517966,6.292919141,78.9622671,31.63245926,165.7587585,37.11655434,364.3854749,79.90087369,10115.99274,1.783988151,200.7102811,316.7634527
Curryetal2021b,SnowshoeMountainTuff,4.188158428,0.441813369,823.9595472,478073.5512,4.452759596,NA,37.99943214,0.047622803,0.952137074,2.676368135,0.654028718,14.33548717,4.731229013,64.67454306,25.6815788,135.1811728,30.46933666,291.5155306,62.436456,11905.23705,1.514414958,178.1623779,298.3728107
Curryetal2021b,SnowshoeMountainTuff,8.107215111,0.351076754,675.4920847,465858.6208,2.459624278,NA,26.26327134,0.05381832,1.007382692,2.314842978,0.740061669,12.88869758,4.40625303,53.47076929,21.14842362,106.028451,23.72784763,230.3436645,50.61362757,9660.18528,0.801294417,142.8464488,189.3613039
Curryetal2021b,SnowshoeMountainTuff,13.53505599,0.272756756,519.7612848,468345.5098,1.680401722,NA,18.48920746,0.045394945,0.815675769,2.375246594,0.610734656,11.03334834,3.609318819,44.72560631,16.52154777,82.4790731,17.94620336,169.6603373,36.39629444,10287.45447,0.818502834,73.03195109,113.9545676
Curryetal2021b,SnowshoeMountainTuff,4.964553985,0.344646043,1205.166629,416846.6779,1.70217083,NA,28.31808935,0.119552406,2.614589184,5.357141353,1.604559509,27.66672759,8.525789757,101.6412769,39.01092001,188.9086858,39.18652858,369.9377823,77.00050252,9823.156719,0.852575442,160.1309814,210.5179732
Curryetal2021b,SnowshoeMountainTuff,13.00522457,0.355702025,506.6853938,429571.1958,1.619087352,0.047255656,18.0903576,0.065591402,1.184061248,1.996258617,0.548039272,11.14502669,3.580027628,43.07656679,16.26170641,80.1194855,17.33100073,163.6408514,35.35449023,9395.341155,0.701597906,77.92937516,115.8798493
Curryetal2021b,SnowshoeMountainTuff,18.30068116,0.325548395,897.9655169,452270.4606,2.357681202,0.020670571,25.66132408,0.162124575,2.223239571,4.331154898,0.986247795,20.70053607,6.616183502,77.04870441,28.56256887,139.4954833,30.05978356,282.1989504,60.56929094,9310.272252,0.982946287,245.6763693,256.3827662
Curryetal2021b,SnowshoeMountainTuff,6.267910421,0.400823035,762.003003,471357.3684,2.881016976,0.044083274,23.14357574,0.087806168,1.05033721,2.048791389,0.622148213,14.46768489,4.78861013,61.02149561,24.30223021,125.5799033,28.20760895,273.4454072,61.01976923,10835.2092,1.180034453,95.37832749,179.7803791
Curryetal2021b,SnowshoeMountainTuff,12.36792496,0.303406314,651.6771193,417189.3688,1.749997644,0.149951917,18.06978274,0.133106698,1.511856643,2.920595605,0.714738113,14.065379,4.315573082,54.22987324,20.15555904,103.4384243,21.96702551,211.803636,45.68924488,9063.444749,0.630373392,84.92080654,126.9929324
Curryetal2021b,SnowshoeMountainTuff,8.110254079,0.563528987,727.6121415,464650.625,2.770990697,0.583082173,31.38634987,0.214283847,1.711520242,3.005420751,0.918372105,15.05586109,4.858132484,58.93406334,23.00987987,113.3141517,24.94315643,239.8749841,52.81031808,9758.684833,1.00318064,168.6285488,192.7727152
Curryetal2021b,SnowshoeMountainTuff,7.089681779,0.325880822,775.0548094,417359.2435,2.795586581,NA,23.85449006,0.070595608,1.466574974,2.795430756,0.78486877,14.91125593,4.98454048,62.4323912,24.79804183,125.2617302,28.01732451,273.5261073,59.90371874,9147.428876,1.139528143,137.8965374,202.9871919
Curryetal2021b,SnowshoeMountainTuff,7.209802538,0.317226941,645.2766437,429045.9288,2.417515097,NA,21.75541118,0.051442192,0.954599366,2.082772854,0.693353289,12.47452997,4.042058707,51.66851246,20.40378977,104.0416941,23.04252951,224.8143927,50.29244535,9856.858623,1.022658276,97.08393628,175.002423
Curryetal2021b,SnowshoeMountainTuff,7.742020862,0.427242532,1063.704332,444514.489,4.570607942,0.055320291,44.48713384,0.102370067,1.841783776,3.771121308,1.160144997,21.03306771,7.097217021,88.32894307,34.51009908,169.0591203,35.96165038,342.4090901,72.54276511,10046.10089,1.531114051,215.3121885,287.127322
Curryetal2021b,SnowshoeMountainTuff,5.360974828,0.367618067,760.7889338,461199.3725,3.69392692,NA,32.75703695,0.054691004,1.004409927,2.244771716,0.631759042,13.34531013,4.546333833,60.29290898,23.77560906,124.6736791,27.70814018,265.2906834,58.73820678,11393.92982,1.33768599,180.3940754,284.7554701
Curryetal2021b,SnowshoeMountainTuff,6.486418763,0.360424743,1032.098965,425713.093,2.040591696,0.011677747,23.82282944,0.11594423,2.178918706,4.341772782,1.236030573,22.28033165,7.339887918,87.88733478,33.29530297,166.8930815,35.04944334,332.3333797,70.98914399,9877.743001,0.785603739,119.3978456,162.3369443
